Year,Sex,NACE Rev 2 Sector,Median Annual Earnings (â‚¬),Annual Change (%)
2011,Both sexes,Industry (B to E),36986.0,
2011,Both sexes,Construction (F),33153.0,
2011,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),23046.0,
2011,Both sexes,Transportation and storage (H),36904.0,
2011,Both sexes,Accommodation and food service activities (I),18200.0,
2011,Both sexes,Information and communication (J),46915.0,
2011,Both sexes,"Financial, insurance and real estate activities (K,L)",41322.0,
2011,Both sexes,"Professional, scientific and technical activities (M)",34186.0,
2011,Both sexes,Administrative and support service activities (N),24213.0,
2011,Both sexes,Public administration and defence; compulsory social security (O),44618.0,
2011,Both sexes,Education (P),47577.0,
2011,Both sexes,Human health and social work activities (Q),34304.0,
2011,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",21125.0,
2011,Both sexes,All NACE economic sectors,33157.0,
2011,Male,Industry (B to E),39943.0,
2011,Male,Construction (F),35436.0,
2011,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27609.0,
2011,Male,Transportation and storage (H),39247.0,
2011,Male,Accommodation and food service activities (I),20117.0,
2011,Male,Information and communication (J),51066.0,
2011,Male,"Financial, insurance and real estate activities (K,L)",52651.0,
2011,Male,"Professional, scientific and technical activities (M)",42840.0,
2011,Male,Administrative and support service activities (N),27005.0,
2011,Male,Public administration and defence; compulsory social security (O),48296.0,
2011,Male,Education (P),55483.0,
2011,Male,Human health and social work activities (Q),39515.0,
2011,Male,"Arts, entertainment, recreation and other service activities (R,S)",26183.0,
2011,Male,All NACE economic sectors,37492.0,
2011,Female,Industry (B to E),31139.0,
2011,Female,Construction (F),22020.0,
2011,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),19011.0,
2011,Female,Transportation and storage (H),28506.0,
2011,Female,Accommodation and food service activities (I),16560.0,
2011,Female,Information and communication (J),39674.0,
2011,Female,"Financial, insurance and real estate activities (K,L)",36148.0,
2011,Female,"Professional, scientific and technical activities (M)",28953.0,
2011,Female,Administrative and support service activities (N),19325.0,
2011,Female,Public administration and defence; compulsory social security (O),38938.0,
2011,Female,Education (P),45128.0,
2011,Female,Human health and social work activities (Q),33123.0,
2011,Female,"Arts, entertainment, recreation and other service activities (R,S)",18200.0,
2011,Female,All NACE economic sectors,29189.0,
2012,Both sexes,Industry (B to E),37020.0,0.1
2012,Both sexes,Construction (F),32539.0,-1.9
2012,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),23091.0,0.2
2012,Both sexes,Transportation and storage (H),36300.0,-1.6
2012,Both sexes,Accommodation and food service activities (I),17911.0,-1.6
2012,Both sexes,Information and communication (J),47412.0,1.1
2012,Both sexes,"Financial, insurance and real estate activities (K,L)",41366.0,0.1
2012,Both sexes,"Professional, scientific and technical activities (M)",33890.0,-0.9
2012,Both sexes,Administrative and support service activities (N),24535.0,1.3
2012,Both sexes,Public administration and defence; compulsory social security (O),44537.0,-0.2
2012,Both sexes,Education (P),47570.0,0.0
2012,Both sexes,Human health and social work activities (Q),33920.0,-1.1
2012,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",20608.0,-2.4
2012,Both sexes,All NACE economic sectors,32900.0,-0.8
2012,Male,Industry (B to E),39722.0,-0.6
2012,Male,Construction (F),34873.0,-1.6
2012,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27553.0,-0.2
2012,Male,Transportation and storage (H),38131.0,-2.8
2012,Male,Accommodation and food service activities (I),19701.0,-2.1
2012,Male,Information and communication (J),51558.0,1.0
2012,Male,"Financial, insurance and real estate activities (K,L)",51628.0,-1.9
2012,Male,"Professional, scientific and technical activities (M)",41920.0,-2.1
2012,Male,Administrative and support service activities (N),27003.0,0.0
2012,Male,Public administration and defence; compulsory social security (O),48084.0,-0.4
2012,Male,Education (P),54596.0,-1.6
2012,Male,Human health and social work activities (Q),38249.0,-3.2
2012,Male,"Arts, entertainment, recreation and other service activities (R,S)",25520.0,-2.5
2012,Male,All NACE economic sectors,36860.0,-1.7
2012,Female,Industry (B to E),31430.0,0.9
2012,Female,Construction (F),21401.0,-2.8
2012,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),18993.0,-0.1
2012,Female,Transportation and storage (H),28887.0,1.3
2012,Female,Accommodation and food service activities (I),16188.0,-2.2
2012,Female,Information and communication (J),40024.0,0.9
2012,Female,"Financial, insurance and real estate activities (K,L)",36483.0,0.9
2012,Female,"Professional, scientific and technical activities (M)",28746.0,-0.7
2012,Female,Administrative and support service activities (N),19545.0,1.1
2012,Female,Public administration and defence; compulsory social security (O),39647.0,1.8
2012,Female,Education (P),45270.0,0.3
2012,Female,Human health and social work activities (Q),32900.0,-0.7
2012,Female,"Arts, entertainment, recreation and other service activities (R,S)",17827.0,-2.0
2012,Female,All NACE economic sectors,29189.0,0.0
2013,Both sexes,Industry (B to E),37348.0,0.9
2013,Both sexes,Construction (F),33248.0,2.2
2013,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),23185.0,0.4
2013,Both sexes,Transportation and storage (H),36183.0,-0.3
2013,Both sexes,Accommodation and food service activities (I),17798.0,-0.6
2013,Both sexes,Information and communication (J),48999.0,3.3
2013,Both sexes,"Financial, insurance and real estate activities (K,L)",41955.0,1.4
2013,Both sexes,"Professional, scientific and technical activities (M)",34267.0,1.1
2013,Both sexes,Administrative and support service activities (N),24588.0,0.2
2013,Both sexes,Public administration and defence; compulsory social security (O),45024.0,1.1
2013,Both sexes,Education (P),47754.0,0.4
2013,Both sexes,Human health and social work activities (Q),33873.0,-0.1
2013,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",20489.0,-0.6
2013,Both sexes,All NACE economic sectors,33059.0,0.5
2013,Male,Industry (B to E),40014.0,0.7
2013,Male,Construction (F),35327.0,1.3
2013,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27762.0,0.8
2013,Male,Transportation and storage (H),37968.0,-0.4
2013,Male,Accommodation and food service activities (I),19535.0,-0.8
2013,Male,Information and communication (J),53360.0,3.5
2013,Male,"Financial, insurance and real estate activities (K,L)",51999.0,0.7
2013,Male,"Professional, scientific and technical activities (M)",41902.0,0.0
2013,Male,Administrative and support service activities (N),27015.0,0.0
2013,Male,Public administration and defence; compulsory social security (O),48997.0,1.9
2013,Male,Education (P),54160.0,-0.8
2013,Male,Human health and social work activities (Q),37732.0,-1.4
2013,Male,"Arts, entertainment, recreation and other service activities (R,S)",25139.0,-1.5
2013,Male,All NACE economic sectors,36907.0,0.1
2013,Female,Industry (B to E),32036.0,1.9
2013,Female,Construction (F),21596.0,0.9
2013,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),19051.0,0.3
2013,Female,Transportation and storage (H),29326.0,1.5
2013,Female,Accommodation and food service activities (I),16095.0,-0.6
2013,Female,Information and communication (J),41002.0,2.4
2013,Female,"Financial, insurance and real estate activities (K,L)",36973.0,1.3
2013,Female,"Professional, scientific and technical activities (M)",29198.0,1.6
2013,Female,Administrative and support service activities (N),19791.0,1.3
2013,Female,Public administration and defence; compulsory social security (O),40128.0,1.2
2013,Female,Education (P),45658.0,0.9
2013,Female,Human health and social work activities (Q),32962.0,0.2
2013,Female,"Arts, entertainment, recreation and other service activities (R,S)",17885.0,0.3
2013,Female,All NACE economic sectors,29526.0,1.2
2014,Both sexes,Industry (B to E),37999.0,1.7
2014,Both sexes,Construction (F),33675.0,1.3
2014,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),23790.0,2.6
2014,Both sexes,Transportation and storage (H),36322.0,0.4
2014,Both sexes,Accommodation and food service activities (I),17841.0,0.2
2014,Both sexes,Information and communication (J),50902.0,3.9
2014,Both sexes,"Financial, insurance and real estate activities (K,L)",42437.0,1.1
2014,Both sexes,"Professional, scientific and technical activities (M)",35000.0,2.1
2014,Both sexes,Administrative and support service activities (N),25142.0,2.3
2014,Both sexes,Public administration and defence; compulsory social security (O),45371.0,0.8
2014,Both sexes,Education (P),46750.0,-2.1
2014,Both sexes,Human health and social work activities (Q),33634.0,-0.7
2014,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",20442.0,-0.2
2014,Both sexes,All NACE economic sectors,33323.0,0.8
2014,Male,Industry (B to E),40468.0,1.1
2014,Male,Construction (F),35506.0,0.5
2014,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),28198.0,1.6
2014,Male,Transportation and storage (H),38340.0,1.0
2014,Male,Accommodation and food service activities (I),19783.0,1.3
2014,Male,Information and communication (J),55750.0,4.5
2014,Male,"Financial, insurance and real estate activities (K,L)",52500.0,1.0
2014,Male,"Professional, scientific and technical activities (M)",42753.0,2.0
2014,Male,Administrative and support service activities (N),27394.0,1.4
2014,Male,Public administration and defence; compulsory social security (O),49606.0,1.2
2014,Male,Education (P),52907.0,-2.3
2014,Male,Human health and social work activities (Q),36780.0,-2.5
2014,Male,"Arts, entertainment, recreation and other service activities (R,S)",25433.0,1.2
2014,Male,All NACE economic sectors,36999.0,0.2
2014,Female,Industry (B to E),32629.0,1.9
2014,Female,Construction (F),22076.0,2.2
2014,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),19512.0,2.4
2014,Female,Transportation and storage (H),29920.0,2.0
2014,Female,Accommodation and food service activities (I),16115.0,0.1
2014,Female,Information and communication (J),41706.0,1.7
2014,Female,"Financial, insurance and real estate activities (K,L)",37361.0,1.0
2014,Female,"Professional, scientific and technical activities (M)",29845.0,2.2
2014,Female,Administrative and support service activities (N),20495.0,3.6
2014,Female,Public administration and defence; compulsory social security (O),41041.0,2.3
2014,Female,Education (P),44639.0,-2.2
2014,Female,Human health and social work activities (Q),32917.0,-0.1
2014,Female,"Arts, entertainment, recreation and other service activities (R,S)",17734.0,-0.8
2014,Female,All NACE economic sectors,29857.0,1.1
2015,Both sexes,Industry (B to E),38118.0,0.3
2015,Both sexes,Construction (F),33321.0,-1.1
2015,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),24386.0,2.5
2015,Both sexes,Transportation and storage (H),36203.0,-0.3
2015,Both sexes,Accommodation and food service activities (I),18200.0,2.0
2015,Both sexes,Information and communication (J),52132.0,2.4
2015,Both sexes,"Financial, insurance and real estate activities (K,L)",42658.0,0.5
2015,Both sexes,"Professional, scientific and technical activities (M)",35986.0,2.8
2015,Both sexes,Administrative and support service activities (N),25706.0,2.2
2015,Both sexes,Public administration and defence; compulsory social security (O),45437.0,0.1
2015,Both sexes,Education (P),47228.0,1.0
2015,Both sexes,Human health and social work activities (Q),33830.0,0.6
2015,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",20560.0,0.6
2015,Both sexes,All NACE economic sectors,33688.0,1.1
2015,Male,Industry (B to E),40396.0,-0.2
2015,Male,Construction (F),34966.0,-1.5
2015,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),28872.0,2.4
2015,Male,Transportation and storage (H),37733.0,-1.6
2015,Male,Accommodation and food service activities (I),20280.0,2.5
2015,Male,Information and communication (J),57078.0,2.4
2015,Male,"Financial, insurance and real estate activities (K,L)",51924.0,-1.1
2015,Male,"Professional, scientific and technical activities (M)",43327.0,1.3
2015,Male,Administrative and support service activities (N),27932.0,2.0
2015,Male,Public administration and defence; compulsory social security (O),48533.0,-2.2
2015,Male,Education (P),52763.0,-0.3
2015,Male,Human health and social work activities (Q),36658.0,-0.3
2015,Male,"Arts, entertainment, recreation and other service activities (R,S)",25626.0,0.8
2015,Male,All NACE economic sectors,37038.0,0.1
2015,Female,Industry (B to E),33190.0,1.7
2015,Female,Construction (F),22000.0,-0.3
2015,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),19980.0,2.4
2015,Female,Transportation and storage (H),30389.0,1.6
2015,Female,Accommodation and food service activities (I),16525.0,2.5
2015,Female,Information and communication (J),42499.0,1.9
2015,Female,"Financial, insurance and real estate activities (K,L)",37498.0,0.4
2015,Female,"Professional, scientific and technical activities (M)",30583.0,2.5
2015,Female,Administrative and support service activities (N),20911.0,2.0
2015,Female,Public administration and defence; compulsory social security (O),41510.0,1.1
2015,Female,Education (P),44897.0,0.6
2015,Female,Human health and social work activities (Q),33106.0,0.6
2015,Female,"Arts, entertainment, recreation and other service activities (R,S)",17926.0,1.1
2015,Female,All NACE economic sectors,30272.0,1.4
2016,Both sexes,Industry (B to E),38591.0,1.2
2016,Both sexes,Construction (F),33653.0,1.0
2016,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),25164.0,3.2
2016,Both sexes,Transportation and storage (H),36561.0,1.0
2016,Both sexes,Accommodation and food service activities (I),18754.0,3.0
2016,Both sexes,Information and communication (J),52838.0,1.4
2016,Both sexes,"Financial, insurance and real estate activities (K,L)",43205.0,1.3
2016,Both sexes,"Professional, scientific and technical activities (M)",37486.0,4.2
2016,Both sexes,Administrative and support service activities (N),26436.0,2.8
2016,Both sexes,Public administration and defence; compulsory social security (O),44611.0,-1.8
2016,Both sexes,Education (P),45823.0,-3.0
2016,Both sexes,Human health and social work activities (Q),33618.0,-0.6
2016,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",20789.0,1.1
2016,Both sexes,All NACE economic sectors,33912.0,0.7
2016,Male,Industry (B to E),40766.0,0.9
2016,Male,Construction (F),35000.0,0.1
2016,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),29553.0,2.4
2016,Male,Transportation and storage (H),38502.0,2.0
2016,Male,Accommodation and food service activities (I),20933.0,3.2
2016,Male,Information and communication (J),57863.0,1.4
2016,Male,"Financial, insurance and real estate activities (K,L)",52499.0,1.1
2016,Male,"Professional, scientific and technical activities (M)",44776.0,3.3
2016,Male,Administrative and support service activities (N),28722.0,2.8
2016,Male,Public administration and defence; compulsory social security (O),47967.0,-1.2
2016,Male,Education (P),51864.0,-1.7
2016,Male,Human health and social work activities (Q),36106.0,-1.5
2016,Male,"Arts, entertainment, recreation and other service activities (R,S)",25562.0,-0.2
2016,Male,All NACE economic sectors,37328.0,0.8
2016,Female,Industry (B to E),33530.0,1.0
2016,Female,Construction (F),22744.0,3.4
2016,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),20654.0,3.4
2016,Female,Transportation and storage (H),30402.0,0.0
2016,Female,Accommodation and food service activities (I),17025.0,3.0
2016,Female,Information and communication (J),43179.0,1.6
2016,Female,"Financial, insurance and real estate activities (K,L)",38015.0,1.4
2016,Female,"Professional, scientific and technical activities (M)",31996.0,4.6
2016,Female,Administrative and support service activities (N),21590.0,3.2
2016,Female,Public administration and defence; compulsory social security (O),41098.0,-1.0
2016,Female,Education (P),43562.0,-3.0
2016,Female,Human health and social work activities (Q),33004.0,-0.3
2016,Female,"Arts, entertainment, recreation and other service activities (R,S)",18283.0,2.0
2016,Female,All NACE economic sectors,30507.0,0.8
2017,Both sexes,Industry (B to E),39138.0,1.4
2017,Both sexes,Construction (F),34264.0,1.8
2017,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),25625.0,1.8
2017,Both sexes,Transportation and storage (H),36079.0,-1.3
2017,Both sexes,Accommodation and food service activities (I),19293.0,2.9
2017,Both sexes,Information and communication (J),54714.0,3.6
2017,Both sexes,"Financial, insurance and real estate activities (K,L)",44353.0,2.7
2017,Both sexes,"Professional, scientific and technical activities (M)",38331.0,2.3
2017,Both sexes,Administrative and support service activities (N),27418.0,3.7
2017,Both sexes,Public administration and defence; compulsory social security (O),45562.0,2.1
2017,Both sexes,Education (P),47040.0,2.7
2017,Both sexes,Human health and social work activities (Q),34360.0,2.2
2017,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",21221.0,2.1
2017,Both sexes,All NACE economic sectors,34658.0,2.2
2017,Male,Industry (B to E),41250.0,1.2
2017,Male,Construction (F),35546.0,1.6
2017,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),30121.0,1.9
2017,Male,Transportation and storage (H),37871.0,-1.6
2017,Male,Accommodation and food service activities (I),21719.0,3.8
2017,Male,Information and communication (J),59656.0,3.1
2017,Male,"Financial, insurance and real estate activities (K,L)",53588.0,2.1
